bookid,facid,memid,starttime,slots
40,2,1,2012-07-07T09:00:00.000+03:00,3
41,2,1,2012-07-07T11:30:00.000+03:00,3
42,2,1,2012-07-07T16:00:00.000+03:00,3
43,3,2,2012-07-07T12:30:00.000+03:00,2
44,4,3,2012-07-07T11:30:00.000+03:00,2
45,4,3,2012-07-07T14:00:00.000+03:00,2
46,4,0,2012-07-07T17:30:00.000+03:00,2
47,6,0,2012-07-07T08:30:00.000+03:00,2
48,6,1,2012-07-07T10:30:00.000+03:00,2
49,6,1,2012-07-07T14:30:00.000+03:00,2
50,6,0,2012-07-07T16:00:00.000+03:00,2
51,7,2,2012-07-07T11:30:00.000+03:00,2
52,8,3,2012-07-07T16:00:00.000+03:00,1
53,8,3,2012-07-07T17:30:00.000+03:00,2
54,0,3,2012-07-08T13:00:00.000+03:00,3
55,0,2,2012-07-08T17:30:00.000+03:00,3
56,1,1,2012-07-08T15:00:00.000+03:00,3
57,1,1,2012-07-08T17:30:00.000+03:00,3
58,3,1,2012-07-08T11:30:00.000+03:00,2
59,3,3,2012-07-08T18:30:00.000+03:00,2
